PCC_ID,PCC_GENDER,PCC_RACE,PCC_HISPANIC,STIGMA_GROUP,INTEND_WAIVER,PCC_WAIVERED,PCC_MD,DDBS,DDBS_DIFF,DDBS_DISDAIN,DDBS_BLAME2
2033,1,5 White,0,STIG_INT,2,0,1,6.5,1.7000000000000002,6.0,5.4
2111,2,6 Some other race,0,STIG_CTRL,4,0,0,3.0,5.9,3.4000000000000004,7.7
2031,1,3 Black or African American,0,STIG_CTRL,4,0,0,1.4,6.5,3.9000000000000004,2.9000000000000004
2156,2,5 White,0,STIG_INT,3,0,0,4.300000000000001,4.9,6.4,1.4
2160,2,5 White,1,STIG_INT,4,0,1,2.6,6.800000000000001,5.800000000000001,3.0
2024,2,2 Asian,0,STIG_CTRL,4,1,0,2.3,5.800000000000001,4.4,2.6
2232,1,6 Some other race,0,STIG_CTRL,3,0,1,6.2,5.7,1.7000000000000002,4.1
2002,2,3 Black or African American,0,STIG_CTRL,1,0,1,1.8,4.4,7.1000000000000005,7.6000000000000005
2223,2,2 Asian,0,STIG_CTRL,4,0,0,6.4,3.7,4.9,2.0
2199,2,3 Black or African American,0,STIG_CTRL,2,0,1,2.4000000000000004,3.1,5.7,7.300000000000001
2248,1,2 Asian,1,STIG_INT,1,0,1,3.5,6.300000000000001,5.0,2.4000000000000004
2121,1,5 White,1,STIG_CTRL,3,0,1,5.1000000000000005,6.7,6.1000000000000005,1.5
2189,2,6 Some other race,1,STIG_CTRL,4,1,0,5.6000000000000005,3.4000000000000004,2.9000000000000004,3.4000000000000004
2072,1,2 Asian,0,STIG_CTRL,3,0,1,3.9000000000000004,2.8,5.9,6.800000000000001
2035,2,3 Black or African American,1,STIG_CTRL,3,0,0,2.0,4.6,2.2,1.1
2202,1,3 Black or African American,0,STIG_CTRL,3,0,1,3.3000000000000003,1.9,7.0,5.6000000000000005
2067,1,5 White,1,STIG_CTRL,4,0,1,7.0,1.0,1.1,4.4
2090,2,3 Black or African American,0,STIG_INT,1,0,1,6.7,4.5,3.3000000000000003,8.0
2083,1,2 Asian,1,STIG_CTRL,3,0,1,1.3,1.3,6.300000000000001,7.800000000000001
2206,2,6 Some other race,1,STIG_INT,2,0,1,6.300000000000001,3.5,5.4,3.2
2037,1,3 Black or African American,0,STIG_CTRL,1,0,1,1.7000000000000002,7.0,4.2,3.7
2235,1,6 Some other race,0,STIG_INT,4,0,0,4.1,1.2,2.1,5.9
2138,2,2 Asian,1,STIG_CTRL,2,0,0,3.6,4.1,3.6,4.0
2065,2,5 White,1,STIG_INT,2,0,1,1.2,2.1,2.6,2.3
2126,2,5 White,1,STIG_CTRL,4,0,0,5.9,3.9000000000000004,4.300000000000001,4.800000000000001
2074,1,2 Asian,0,STIG_INT,2,0,1,2.9000000000000004,3.6,5.3,7.4
2227,2,2 Asian,0,STIG_INT,4,0,1,4.2,4.0,7.6000000000000005,5.5
2237,2,5 White,0,STIG_CTRL,4,0,1,2.8,5.0,3.2,4.6
2144,1,2 Asian,0,STIG_INT,3,0,1,1.9,4.2,6.9,5.800000000000001
2166,1,2 Asian,1,STIG_INT,2,1,0,4.800000000000001,1.1,4.0,6.7
2242,1,3 Black or African American,1,STIG_INT,3,0,1,5.800000000000001,4.800000000000001,7.300000000000001,5.7
2112,1,3 Black or African American,1,STIG_INT,2,0,0,5.2,2.6,5.1000000000000005,1.8
2054,1,3 Black or African American,0,STIG_CTRL,3,0,0,3.2,5.3,6.2,7.1000000000000005
2042,2,3 Black or African American,0,STIG_CTRL,4,0,1,4.7,6.4,7.2,5.3
2041,2,5 White,0,STIG_CTRL,3,1,1,2.1,5.6000000000000005,5.6000000000000005,3.6
2179,2,5 White,0,STIG_INT,3,0,1,5.5,3.3000000000000003,4.6,6.2
2164,2,3 Black or African American,0,STIG_CTRL,4,1,0,6.1000000000000005,3.8000000000000003,4.1,1.2
2103,1,3 Black or African American,0,STIG_INT,1,0,1,3.4000000000000004,6.6000000000000005,1.4,5.1000000000000005
2045,2,6 Some other race,0,STIG_INT,2,0,0,1.5,6.1000000000000005,1.8,1.0
2016,2,3 Black or African American,1,STIG_CTRL,4,0,1,6.800000000000001,4.300000000000001,3.1,7.9
